Nível;Indicador;2010;Unidade
2;Amostra - Resultados gerais;;
2.1;Domicílios particulares permamentes;;
2.1.1;Classe de rendimento nominal mensal domiciliar per capita;;
2.1.1.1;Sem rendimento;20129;domicílios
2.1.1.2;Até 1/4 de salário mínimo;5802;domicílios
2.1.1.3;Mais de 1/4 a 1/2 salário mínimo;22070;domicílios
2.1.1.4;Mais de 1/2 a 1 salário mínimo;64887;domicílios
2.1.1.5;Mais de 1 a 2 salários mínimos;95346;domicílios
2.1.1.6;Mais de 2 a 3 salários mínimos;44627;domicílios
2.1.1.7;Mais de 3 a 5 salários mínimos;40194;domicílios
2.1.1.8;Mais de 5 salários mínimos;55130;domicílios
2.1.2;Com alguns bens duráveis existentes no domicílio;;
2.1.2.1;Automóvel para uso particular;229315;domicílios
2.1.2.2;Geladeira;345805;domicílios
2.1.2.3;Máquina de lavar roupa;276587;domicílios
2.1.2.4;Microcomputador;223163;domicílios
2.1.2.4.1;Com acesso à internet;194183;domicílios
2.1.2.5;Motocicleta para uso particular;48776;domicílios
2.1.2.6;Rádio;300726;domicílios
2.1.2.7;Televisão;339143;domicílios
2.1.3;Com rendimento domiciliar;328057;domicílios
2.1.3.1;Situação domiciliar;;
2.1.3.1.1;Urbana;323206;domicílios
2.1.3.1.2;Rural;4850;domicílios
2.1.4;Existência de água canalizada e forma de abastecimento de água;;
2.1.4.1;Tinham;347787;domicílios
2.1.4.1.1;Tinham água canalizada em pelo menos um cômodo;339567;domicílios
2.1.4.1.1.1;Rede geral de distribuição;334020;domicílios
2.1.4.1.1.2;Outra forma de abastecimento;5547;domicílios
2.1.4.1.2;Tinham água canalizada no terreno ou propriedade;8220;domicílios
2.1.4.1.2.1;Rede geral de distribuição;8084;domicílios
2.1.4.1.2.2;Outra forma de abastecimento;136;domicílios
2.1.4.2;Não tinham;399;domicílios
2.1.5;Existência de telefone;;
2.1.5.1;Tinham;339287;domicílios
2.1.5.1.1;Somente telefone celular;84931;domicílios
2.1.5.1.2;Somente telefone fixo;27289;domicílios
2.1.5.1.3;Telefone fixo e celular;227068;domicílios
2.1.5.2;Não tinham;8899;domicílios
2.1.6;Número de cômodos;;
2.1.6.1;1 cômodo;585;domicílios
2.1.6.2;2 cômodos;6686;domicílios
2.1.6.3;3 cômodos;25988;domicílios
2.1.6.4;4 cômodos;47179;domicílios
2.1.6.5;5 cômodos;95025;domicílios
2.1.6.6;6 cômodos;56434;domicílios
2.1.6.7;7 cômodos;38738;domicílios
2.1.6.8;8 ou mais cômodos;77552;domicílios
2.1.7;Número de dormitórios;;
2.1.7.1;1 dormitório;103286;domicílios
2.1.7.2;2 dormitórios;155742;domicílios
2.1.7.3;3 dormitórios;77633;domicílios
2.1.7.4;4 ou mais dormitórios;11524;domicílios
2.1.8;Tipo de material das paredes externas;;
2.1.8.1;Alvenaria com revestimento;312657;domicílios
2.1.8.2;Alvenaria sem revestimento;33224;domicílios
2.1.8.3;Madeira aparelhada;582;domicílios
2.1.8.4;Madeira aproveitada;1267;domicílios
2.1.8.5;Palha;;domicílios
2.1.8.6;Taipa revestida;22;domicílios
2.1.8.7;Taipa não revestida;17;domicílios
2.1.8.8;Outro material;417;domicílios
2.2;Filhos tidos pelas mulheres de 10 anos ou mais de idade;746416;pessoas
2.2.1;Nascidos vivos;719461;pessoas
2.2.1.1;No período de referência de 12 meses;13193;pessoas
2.2.2;Nascidos mortos;26954;pessoas
2.2.3;Que estavam vivos;688285;pessoas
2.3;Moradores em domicílios particulares permanentes;1074238;pessoas
2.3.1;Número de dormitórios;;
2.3.1.1;1 dormitórios;198333;pessoas
2.3.1.2;2 dormitórios;495873;pessoas
2.3.1.3;3 dormitórios;318839;pessoas
2.3.1.4;4 ou mais dormitórios;61194;pessoas
2.4;Pessoas de 10 anos ou mais de idade;949924;pessoas
2.4.1;Classe de rendimento nominal mensal;;
2.4.1.1;Sem rendimento;284791;pessoas
2.4.1.2;Até 1 salário mínimo;114795;pessoas
2.4.1.3;Mais de 1 a 2 salários mínimos;220824;pessoas
2.4.1.4;Mais de 2 a 3 salários mínimos;104499;pessoas
2.4.1.5;Mais de 3 a 5 salários mínimos;95306;pessoas
2.4.1.6;Mais de 5 a 10 salários mínimos;78047;pessoas
2.4.1.7;Mais de 10 a 20 salários mínimos;34887;pessoas
2.4.1.8;Mais de 20 salários mínimos;16775;pessoas
2.4.2;Com rendimento;665133;pessoas
2.4.2.1;Sexo;;
2.4.2.1.1;Masculino;346560;pessoas
2.4.2.1.2;Feminino;318573;pessoas
2.4.3;Situação de ocupação na semana de referência;;
2.4.3.1;Ocupada;;
2.4.3.1.1;Com rendimento de trabalho;533797;pessoas
2.4.3.1.1.1;Sexo;;
2.4.3.1.1.1.1;Masculino;295337;pessoas
2.4.3.1.1.1.2;Feminino;238459;pessoas
2.4.3.1.2;Classe de rendimento nominal mensal de todos os trabalhos;;
2.4.3.1.2.1;Sem rendimento;9753;pessoas
