Nível;Indicador;2010;Unidade
17;Universo - Características da população e dos domicílios;;
17.1;Domicílios particulares permanentes;348268;domicílios
17.1.1;Classe de rendimento nominal mensal domiciliar;;
17.1.1.1;Sem rendimento;15448;domicílios
17.1.1.2;Até 1/2 salário mínimo;1523;domicílios
17.1.1.3;Mais de 1/2 a 1 salário mínimo;16782;domicílios
17.1.1.4;Mais de 1 a 2 salários mínimos;48128;domicílios
17.1.1.5;Mais de 2 a 5 salários mínimos;123604;domicílios
17.1.1.6;Mais de 5 a 10 salários mínimos;81657;domicílios
17.1.1.7;Mais de 10 a 20 salários mínimos;40965;domicílios
17.1.1.8;Mais de 20 salários mínimos;20161;domicílios
17.1.1.9;Sem declaração;;domicílios
17.1.2;Condição de ocupação do domicílio;;
17.1.2.1;Alugado;69221;domicílios
17.1.2.2;Cedido;18826;domicílios
17.1.2.2.1;Por empregador;3301;domicílios
17.1.2.2.2;De outra forma;15525;domicílios
17.1.2.3;Próprio;255903;domicílios
17.1.2.3.1;Já quitado;223310;domicílios
17.1.2.3.2;Em aquisição;32593;domicílios
17.1.2.4;Outra condição;4318;domicílios
17.1.3;Destino do lixo;;
17.1.3.1;Coletado;346702;domicílios
17.1.3.1.1;Por serviço de limpeza;332599;domicílios
17.1.3.1.2;Em caçamba de serviço de limpeza;14103;domicílios
17.1.3.2;Enterrado (na propriedade);78;domicílios
17.1.3.3;Jogado em rio, lago ou mar;59;domicílios
17.1.3.4;Jogado em terreno baldio ou logradouro;351;domicílios
17.1.3.5;Queimado (na propriedade);803;domicílios
17.1.3.6;Outro destino;275;domicílios
17.1.4;Forma de abastecimento de água;;
17.1.4.1;Poço ou nascente na propriedade;4547;domicílios
17.1.4.2;Poço ou nascente fora da propriedade;1071;domicílios
17.1.4.3;Rede geral;341754;domicílios
17.1.4.4;Outra forma;;
17.1.4.4.1;Água da chuva armazenada em cisterna;7;domicílios
17.1.4.4.2;Água da chuva armazenada de outra forma;8;domicílios
17.1.4.4.3;Carro-pipa;104;domicílios
17.1.4.4.4;Poço ou nascente na aldeia;;domicílios
17.1.4.4.5;Poço ou nascente fora da aldeia;;domicílios
17.1.4.4.6;Rio, açude, lago ou igarapé;24;domicílios
17.1.4.4.7;Outra;753;domicílios
17.1.5;Existência de banheiro ou sanitário e esgotamento sanitário;;
17.1.5.1;Tinham banheiro;;
17.1.5.1.1;Uso exclusivo do domicílio;346587;domicílios
17.1.5.1.1.1;Tipo de esgotamento sanitário;;
17.1.5.1.1.1.1;Rede geral de esgoto ou pluvial;299177;domicílios
17.1.5.1.1.1.2;Fossa séptica;19656;domicílios
17.1.5.1.1.1.3;Outro escoadouro;;
17.1.5.1.1.1.3.1;Fossa rudimentar;15693;domicílios
17.1.5.1.1.1.3.2;Vala;1640;domicílios
17.1.5.1.1.1.3.3;Rio, lago ou mar;9763;domicílios
17.1.5.1.1.1.3.4;Outro;658;domicílios
17.1.5.2;Tinham sanitário;1549;domicílios
17.1.5.2.1;Tipo de esgotamento sanitário;;
17.1.5.2.1.1;Rede geral de esgoto ou pluvial;1002;domicílios
17.1.5.2.1.2;Fossa séptica;57;domicílios
17.1.5.2.1.3;Outro escoadouro;;
17.1.5.2.1.3.1;Fossa rudimentar;217;domicílios
17.1.5.2.1.3.2;Vala;162;domicílios
17.1.5.2.1.3.3;Rio, lago ou mar;;
17.1.5.2.1.3.4;Outro;17;domicílios
17.1.5.3;Não tinham banheiro nem sanitário;132;domicílios
17.1.6;Existência de energia elétrica;;
17.1.6.1;Tinham;348155;domicílios
17.1.6.1.1;De companhia distribuidora;345426;domicílios
17.1.6.1.1.1;Com medidor;335878;domicílios
17.1.6.1.1.1.1;Comum a mais de um domicílio;27545;domicílios
17.1.6.1.1.1.2;Uso exclusivo;308333;domicílios
17.1.6.1.1.2;Sem medidor;9548;domicílios
17.1.6.1.2;De outra fonte;2729;domicílios
17.1.6.2;Não tinham;113;domicílios
17.1.7;Número de moradores;;
17.1.7.1;1 morador;48687;domicílios
17.1.7.1.1;Sexo;;
17.1.7.1.1.1;Masculino;21510;domicílios
17.1.7.1.1.2;Feminino;27177;domicílios
17.1.7.2;2 moradores;87532;domicílios
17.1.7.2.1;Sexo;;
17.1.7.2.1.1;Masculino;49655;domicílios
17.1.7.2.1.2;Feminino;37877;domicílios
17.1.7.3;3 moradores;87969;domicílios
