mask_type,FFE
2-layer woven nylon mask without nose bridge,0.447
2-layer woven nylon mask with nose bridge,0.563
2-layer woven nylon  with nose bridge and filter insert,0.744
2-layer woven nylon  with nose bridge washed,0.79
Cotton Bandana folded surgeon general style,0.49
Cotton Bandana folded bandit style,0.49
Single-layer woven polyester gaiter,0.378
Single-layer woven polyester mask with ties,0.393
Non-woven polypropylene mask with fixed ear loops,0.286
3-layer knitted cotton mask with ear loops,0.265
N95 respirator,0.984
Surgical mask with ties,0.715
Procedure mask with ear loops,0.385
"Procedure mask with loops tied, corners tucked",0.603
"Procedure mask with loops tied, corners tucked and ear guard",0.617
Procedure mask with Clawed hair clip,0.648
Procedure mask with fix-the-mask technique (rubber bands),0.782
Procedure mask with Nylon hosiery sleeve,0.802
No Mask,0
