vaccine,normal,alpha,beta,gamma,delta,omicron,normal_u,alpha_u,beta_u,gamma_u,delta_u,omicron_u
Pfizer (Dose 1),0.8,0.49,0.36,0.36,0.33,0.44,0.91,0.49,0.375,0.37,0.33,0.44
Pfizer (Dose 2),0.95,0.87,0.72,0.75,0.79,0.88,0.95,0.95,0.85,0.77,0.92,0.88
Pfizer (Dose 2) + Pfizer Booster,0.95,0.87,0.72,0.75,0.79,0.9,0.95,0.95,0.85,0.77,0.92,0.9
Pfizer (Dose 2) + Moderna (Booster),0.95,0.87,0.72,0.75,0.79,0.91,0.95,0.95,0.85,0.77,0.92,0.91
Moderna (Dose 1),0.8,0.49,0.72,0.72,0.33,,0.9,0.49,0.49,0.49,0.49,
Moderna (Dose 2),0.9,0.91,0.9,0.9,0.855,,0.96,0.96,0.96,0.96,0.96,
J&J (Dose 1),0.69,0.77,0.52,0.51,0.49,,0.77,0.77,0.57,0.68,0.78,
J&J (Dose 1) + J&J Booster,0.69,0.77,0.52,0.51,0.49,0.85,0.77,0.77,0.57,0.68,0.78,0.85
Astrazeneca (Dose 1),0.55,0.33,0.1,0.11,0.329,,0.67,0.37,0.11,0.243,0.329,
Astrazeneca (Dose 2),0.82,0.66,0.22,0.22,0.598,,0.85,0.74,0.7,0.486,0.598,
Astrazeneca (Dose 2) + Pfizer/Moderna (Booster),0.82,0.66,0.22,0.22,0.598,0.56,0.85,0.74,0.7,0.486,0.598,0.65
Novavax (Dose 1),0.904,0.863,0.486,,,,0.91,0.863,0.486,,,
No Vaccine,0,0,0,0,0,0,0,0,0,0,0,0
