Iteration,Memory,Runtime
0,342506360,0.153
1,342506360,0.129
2,342506360,0.217
3,342506360,0.139
4,342506360,0.178
5,342506360,0.126
6,342506360,0.106
7,342506360,0.07
8,342506360,0.052
9,342506360,0.076
10,342506360,0.051
11,342506360,0.049
12,342506360,0.08
13,342506360,0.052
14,342506360,0.052
15,342506360,0.06
16,342506360,0.064
17,342506360,0.058
18,342506360,0.049
19,342506360,0.045
20,342506360,0.049
21,342506360,0.068
22,342506360,0.095
23,342506360,0.069
24,342506360,0.059
25,342506360,0.053
26,342506360,0.046
27,342506360,0.061
28,342506360,0.05
29,342506360,0.042
30,342506360,0.041
31,342506360,0.047
32,342506360,0.049
33,342506360,0.048
34,342506360,0.043
35,342506360,0.058
36,342506360,0.04
37,342506360,0.04
38,342506360,0.041
39,342506360,0.04
40,342506360,0.042
41,342506360,0.041
42,342506360,0.044
43,342506360,0.04
44,342506360,0.04
45,342506360,0.04
46,342506360,0.041
47,342506360,0.04
48,342506360,0.04
49,342506360,0.039
