Iteration,Memory,Runtime
0,1223237,0.0469
1,1223237,0.0469
2,1223237,0.0469
3,1223237,0.0781
4,1223237,0.0469
5,1223237,0.0469
6,1223237,0.0469
7,1223237,0.0469
8,1223237,0.0312
9,1223237,0.0469
10,1223237,0.0469
11,1223237,0.0469
12,1223237,0.0469
13,1223237,0.0469
14,1223237,0.0469
15,1223237,0.0469
16,1223237,0.0469
17,1223237,0.0469
18,1223237,0.0469
19,1223237,0.0469
20,1223237,0.0469
21,1223237,0.0469
22,1223237,0.0625
23,1223237,0.0469
24,1223237,0.0469
25,1223237,0.0469
26,1223237,0.0469
27,1223237,0.0469
28,1223237,0.0469
29,1223237,0.0625
30,1223237,0.0469
31,1223237,0.0469
32,1223237,0.0312
33,1223237,0.0312
34,1223237,0.0469
35,1223237,0.0469
36,1223237,0.0469
37,1223237,0.0469
38,1223237,0.0625
39,1223237,0.0469
40,1223237,0.0469
41,1223237,0.0469
42,1223237,0.0469
43,1223237,0.0469
44,1223237,0.0469
45,1223237,0.0469
46,1223237,0.0469
47,1223237,0.0469
48,1223237,0.0469
49,1223237,0.0469
