Iteration,Memory,Runtime
0,4892948,0.361592
1,4892948,0.353779
2,4892948,0.356709
3,4892948,0.36527
4,4892948,0.368926
5,4892948,0.37114
6,4892948,0.369581
7,4892948,0.355565
8,4892948,0.358572
9,4892948,0.367648
10,4892948,0.358573
11,4892948,0.369823
12,4892948,0.373457
13,4892948,0.374508
14,4892948,0.353223
15,4892948,0.374489
16,4892948,0.362581
17,4892948,0.37041
18,4892948,0.359616
19,4892948,0.36885
20,4892948,0.361846
21,4892948,0.354154
22,4892948,0.366902
23,4892948,0.374894
24,4892948,0.361477
25,4892948,0.371586
26,4892948,0.367134
27,4892948,0.369831
28,4892948,0.399727
29,4892948,0.355583
30,4892948,0.366082
31,4892948,0.386358
32,4892948,0.370397
33,4892948,0.374983
34,4892948,0.368697
35,4892948,0.377259
36,4892948,0.358539
37,4892948,0.356859
38,4892948,0.356065
39,4892948,0.365004
40,4892948,0.379024
41,4892948,0.38008
42,4892948,0.373216
43,4892948,0.375801
44,4892948,0.379235
45,4892948,0.362358
46,4892948,0.354267
47,4892948,0.382111
48,4892948,0.381139
49,4892948,0.359294
