Iteration,Memory,Runtime
0,4892948,0.01884
1,4892948,0.023216
2,4892948,0.019291
3,4892948,0.025723
4,4892948,0.026753
5,4892948,0.019341
6,4892948,0.024397
7,4892948,0.018443
8,4892948,0.021037
9,4892948,0.018998
10,4892948,0.019325
11,4892948,0.026454
12,4892948,0.019277
13,4892948,0.020308
14,4892948,0.026965
15,4892948,0.024851
16,4892948,0.01877
17,4892948,0.024009
18,4892948,0.019325
19,4892948,0.025493
20,4892948,0.018774
21,4892948,0.019096
22,4892948,0.022252
23,4892948,0.024528
24,4892948,0.025054
25,4892948,0.018778
26,4892948,0.021032
27,4892948,0.01885
28,4892948,0.018951
29,4892948,0.01956
30,4892948,0.024284
31,4892948,0.020633
32,4892948,0.020169
33,4892948,0.019749
34,4892948,0.018326
35,4892948,0.020755
36,4892948,0.019321
37,4892948,0.019771
38,4892948,0.020738
39,4892948,0.018875
40,4892948,0.027953
41,4892948,0.021821
42,4892948,0.028817
43,4892948,0.025616
44,4892948,0.018265
45,4892948,0.020231
46,4892948,0.018534
47,4892948,0.025504
48,4892948,0.022298
49,4892948,0.02097
