Iteration,Memory,Runtime
0,4892948,0.016
1,4892948,0.019
2,4892948,0.019
3,4892948,0.016
4,4892948,0.015
5,4892948,0.018
6,4892948,0.016
7,4892948,0.017
8,4892948,0.018
9,4892948,0.019
10,4892948,0.019
11,4892948,0.018
12,4892948,0.014
13,4892948,0.015
14,4892948,0.02
15,4892948,0.017
16,4892948,0.017
17,4892948,0.016
18,4892948,0.019
19,4892948,0.019
20,4892948,0.017
21,4892948,0.015
22,4892948,0.017
23,4892948,0.016
24,4892948,0.017
25,4892948,0.015
26,4892948,0.016
27,4892948,0.017
28,4892948,0.017
29,4892948,0.02
30,4892948,0.016
31,4892948,0.017
32,4892948,0.019
33,4892948,0.017
34,4892948,0.018
35,4892948,0.017
36,4892948,0.016
37,4892948,0.016
38,4892948,0.019
39,4892948,0.017
40,4892948,0.018
41,4892948,0.017
42,4892948,0.017
43,4892948,0.022
44,4892948,0.017
45,4892948,0.015
46,4892948,0.016
47,4892948,0.02
48,4892948,0.016
49,4892948,0.016
