Iteration,Memory,Runtime
0,4892948,0.016
1,4892948,0.019
2,4892948,0.017
3,4892948,0.018
4,4892948,0.018
5,4892948,0.019
6,4892948,0.017
7,4892948,0.016
8,4892948,0.02
9,4892948,0.01
10,4892948,0.009
11,4892948,0.015
12,4892948,0.022
13,4892948,0.013
14,4892948,0.03
15,4892948,0.02
16,4892948,0.004
17,4892948,0.021
18,4892948,0.019
19,4892948,0.011
20,4892948,0.016
21,4892948,0.015
22,4892948,0.017
23,4892948,0.005
24,4892948,0.02
25,4892948,0.016
26,4892948,0.016
27,4892948,0.019
28,4892948,0.03
29,4892948,0.024
30,4892948,0.019
31,4892948,0.013
32,4892948,0.001
33,4892948,0.024
34,4892948,0.014
35,4892948,0.016
36,4892948,0.003
37,4892948,0.018
38,4892948,0.015
39,4892948,0.001
40,4892948,0.015
41,4892948,0.012
42,4892948,0.022
43,4892948,0.016
44,4892948,0.015
45,4892948,0.008
46,4892948,0.001
47,4892948,0.026
48,4892948,0.016
49,4892948,0.016
