Iteration,Memory,Runtime
0,9785896,0.059
1,9785896,0.058
2,9785896,0.058
3,9785896,0.061
4,9785896,0.06
5,9785896,0.059
6,9785896,0.06
7,9785896,0.061
8,9785896,0.063
9,9785896,0.064
10,9785896,0.063
11,9785896,0.06
12,9785896,0.061
13,9785896,0.061
14,9785896,0.061
15,9785896,0.061
16,9785896,0.058
17,9785896,0.061
18,9785896,0.058
19,9785896,0.059
20,9785896,0.06
21,9785896,0.059
22,9785896,0.06
23,9785896,0.08
24,9785896,0.068
25,9785896,0.063
26,9785896,0.078
27,9785896,0.069
28,9785896,0.059
29,9785896,0.061
30,9785896,0.062
31,9785896,0.07
32,9785896,0.063
33,9785896,0.06
34,9785896,0.062
35,9785896,0.064
36,9785896,0.058
37,9785896,0.062
38,9785896,0.073
39,9785896,0.062
40,9785896,0.061
41,9785896,0.06
42,9785896,0.071
43,9785896,0.064
44,9785896,0.063
45,9785896,0.06
46,9785896,0.063
47,9785896,0.061
48,9785896,0.067
49,9785896,0.063
50,9785896,0.062
51,9785896,0.062
52,9785896,0.063
53,9785896,0.065
54,9785896,0.064
55,9785896,0.067
56,9785896,0.063
57,9785896,0.064
58,9785896,0.061
59,9785896,0.061
60,9785896,0.06
61,9785896,0.061
62,9785896,0.06
63,9785896,0.061
64,9785896,0.057
65,9785896,0.057
66,9785896,0.061
67,9785896,0.059
68,9785896,0.058
69,9785896,0.057
70,9785896,0.06
71,9785896,0.06
72,9785896,0.059
73,9785896,0.059
74,9785896,0.06
