Iteration,Memory,Runtime
0,9785896,0.354
1,9785896,0.335
2,9785896,0.297
3,9785896,0.497
4,9785896,0.364
5,9785896,0.359
6,9785896,0.314
7,9785896,0.553
8,9785896,0.3
9,9785896,0.306
10,9785896,0.308
11,9785896,0.324
12,9785896,0.327
13,9785896,0.341
14,9785896,0.326
15,9785896,0.351
16,9785896,0.357
17,9785896,0.34
18,9785896,0.355
19,9785896,0.358
20,9785896,0.333
21,9785896,0.36
22,9785896,0.403
23,9785896,0.372
24,9785896,0.371
25,9785896,0.373
26,9785896,0.419
27,9785896,0.405
28,9785896,0.427
29,9785896,0.356
30,9785896,0.405
31,9785896,0.335
32,9785896,0.446
33,9785896,0.445
34,9785896,0.445
35,9785896,0.448
36,9785896,0.401
37,9785896,0.398
38,9785896,0.408
39,9785896,0.387
40,9785896,0.412
41,9785896,0.4
42,9785896,0.407
43,9785896,0.374
44,9785896,0.384
45,9785896,0.38
46,9785896,0.378
47,9785896,0.361
48,9785896,0.368
49,9785896,0.394
50,9785896,0.365
51,9785896,0.366
52,9785896,0.399
53,9785896,0.368
54,9785896,0.377
55,9785896,0.371
56,9785896,0.383
57,9785896,0.371
58,9785896,0.374
59,9785896,0.388
60,9785896,0.349
61,9785896,0.366
62,9785896,0.344
63,9785896,0.398
64,9785896,0.327
65,9785896,0.349
66,9785896,0.377
67,9785896,0.45
68,9785896,0.387
69,9785896,0.384
70,9785896,0.392
71,9785896,0.455
72,9785896,0.378
73,9785896,0.38
74,9785896,0.375
