Iteration,Memory,Runtime
0,254433296,0.0671197
1,254433296,0.051462
2,254433296,0.044951
3,254433296,0.0460538
4,254433296,0.0456913
5,254433296,0.046407
6,254433296,0.0466858
7,254433296,0.0467733
8,254433296,0.0448231
9,254433296,0.0438907
10,254433296,0.045484
11,254433296,0.0461095
12,254433296,0.0435648
13,254433296,0.0465525
14,254433296,0.0474652
15,254433296,0.046137
16,254433296,0.0457605
17,254433296,0.0465539
18,254433296,0.0452732
19,254433296,0.0458612
20,254433296,0.0438918
21,254433296,0.0429759
22,254433296,0.0465724
23,254433296,0.0454528
24,254433296,0.044477
25,254433296,0.045794
26,254433296,0.0454933
27,254433296,0.0453148
28,254433296,0.0445871
29,254433296,0.0464286
30,254433296,0.0465885
31,254433296,0.046238
32,254433296,0.0451912
33,254433296,0.0482094
34,254433296,0.043583
35,254433296,0.0460793
36,254433296,0.045942
37,254433296,0.0456588
38,254433296,0.0459717
39,254433296,0.046013
40,254433296,0.0459899
41,254433296,0.0455749
42,254433296,0.0459376
43,254433296,0.0455081
44,254433296,0.0440282
45,254433296,0.0430864
46,254433296,0.0455964
47,254433296,0.045552
48,254433296,0.0454574
49,254433296,0.0453924
