Iteration,Memory,Runtime
0,4892948,0.033
1,4892948,0.034
2,4892948,0.053
3,4892948,0.056
4,4892948,0.038
5,4892948,0.03
6,4892948,0.042
7,4892948,0.029
8,4892948,0.051
9,4892948,0.034
10,4892948,0.042
11,4892948,0.047
12,4892948,0.049
13,4892948,0.049
14,4892948,0.038
15,4892948,0.035
16,4892948,0.053
17,4892948,0.045
18,4892948,0.043
19,4892948,0.043
20,4892948,0.032
21,4892948,0.057
22,4892948,0.035
23,4892948,0.041
24,4892948,0.037
25,4892948,0.033
26,4892948,0.036
27,4892948,0.04
28,4892948,0.049
29,4892948,0.052
30,4892948,0.041
31,4892948,0.048
32,4892948,0.058
33,4892948,0.043
34,4892948,0.047
35,4892948,0.064
36,4892948,0.058
37,4892948,0.037
38,4892948,0.043
39,4892948,0.044
40,4892948,0.037
41,4892948,0.052
42,4892948,0.04
43,4892948,0.037
44,4892948,0.053
45,4892948,0.046
46,4892948,0.045
47,4892948,0.042
48,4892948,0.037
49,4892948,0.038
