Iteration,Memory,Runtime
0,275228325,0.581
1,275228325,0.553
2,275228325,0.545
3,275228325,0.573
4,275228325,0.546
5,275228325,0.545
6,275228325,0.609
7,275228325,0.567
8,275228325,0.56
9,275228325,0.568
10,275228325,0.557
11,275228325,0.563
12,275228325,0.562
13,275228325,0.548
14,275228325,0.584
15,275228325,0.554
16,275228325,0.555
17,275228325,0.575
18,275228325,0.568
19,275228325,0.554
20,275228325,0.57
21,275228325,0.557
22,275228325,0.565
23,275228325,0.62
24,275228325,0.603
25,275228325,0.573
26,275228325,0.558
27,275228325,0.543
28,275228325,0.599
29,275228325,0.564
30,275228325,0.572
31,275228325,0.647
32,275228325,0.594
33,275228325,0.549
34,275228325,0.603
35,275228325,0.559
36,275228325,0.621
37,275228325,0.572
38,275228325,0.554
39,275228325,0.576
40,275228325,0.564
41,275228325,0.56
42,275228325,0.577
43,275228325,0.555
44,275228325,0.55
45,275228325,0.565
46,275228325,0.557
47,275228325,0.547
48,275228325,0.56
49,275228325,0.555
