Iteration,Memory,Runtime
0,275228325,0.027
1,275228325,0.022
2,275228325,0.022
3,275228325,0.019
4,275228325,0.021
5,275228325,0.021
6,275228325,0.021
7,275228325,0.02
8,275228325,0.02
9,275228325,0.02
10,275228325,0.021
11,275228325,0.022
12,275228325,0.02
13,275228325,0.021
14,275228325,0.019
15,275228325,0.021
16,275228325,0.02
17,275228325,0.019
18,275228325,0.022
19,275228325,0.028
20,275228325,0.022
21,275228325,0.021
22,275228325,0.022
23,275228325,0.021
24,275228325,0.021
25,275228325,0.022
26,275228325,0.02
27,275228325,0.021
28,275228325,0.021
29,275228325,0.021
30,275228325,0.022
31,275228325,0.02
32,275228325,0.021
33,275228325,0.02
34,275228325,0.021
35,275228325,0.02
36,275228325,0.021
37,275228325,0.021
38,275228325,0.021
39,275228325,0.024
40,275228325,0.021
41,275228325,0.024
42,275228325,0.02
43,275228325,0.02
44,275228325,0.022
45,275228325,0.022
46,275228325,0.021
47,275228325,0.021
48,275228325,0.023
49,275228325,0.021
50,275228325,0.019
51,275228325,0.021
52,275228325,0.02
53,275228325,0.02
54,275228325,0.021
55,275228325,0.022
56,275228325,0.021
57,275228325,0.022
58,275228325,0.021
59,275228325,0.023
60,275228325,0.019
61,275228325,0.022
62,275228325,0.023
63,275228325,0.021
64,275228325,0.021
65,275228325,0.022
66,275228325,0.022
67,275228325,0.02
68,275228325,0.02
69,275228325,0.021
70,275228325,0.02
71,275228325,0.021
72,275228325,0.021
73,275228325,0.021
74,275228325,0.021
