date,state,city,ibgeID,vaccine,sex,age,dose,pop2021,count
2021-01-17,SP,Campinas/SP,3509502,Pfizer/BioNTech,F,20-24,2,1223237,1
2021-01-17,SP,Campinas/SP,3509502,Sinovac,F,25-29,1,1223237,1
2021-01-17,SP,Campinas/SP,3509502,Sinovac,F,50-54,1,1223237,1
2021-01-17,SP,Campinas/SP,3509502,Sinovac,F,55-59,2,1223237,1
2021-01-18,SP,Campinas/SP,3509502,Sinovac,F,20-24,1,1223237,1
2021-01-18,SP,Campinas/SP,3509502,Sinovac,F,25-29,1,1223237,2
2021-01-18,SP,Campinas/SP,3509502,Sinovac,F,30-34,1,1223237,2
2021-01-18,SP,Campinas/SP,3509502,Sinovac,F,35-39,1,1223237,3
2021-01-18,SP,Campinas/SP,3509502,Sinovac,F,40-44,1,1223237,3
2021-01-18,SP,Campinas/SP,3509502,Sinovac,F,45-49,1,1223237,2
2021-01-18,SP,Campinas/SP,3509502,Sinovac,F,55-59,1,1223237,1
2021-01-18,SP,Campinas/SP,3509502,Sinovac,F,65-69,1,1223237,1
2021-01-18,SP,Campinas/SP,3509502,Sinovac,M,30-34,1,1223237,1
2021-01-18,SP,Campinas/SP,3509502,Sinovac,M,35-39,1,1223237,1
2021-01-18,SP,Campinas/SP,3509502,Sinovac,M,55-59,1,1223237,1
2021-01-18,SP,Campinas/SP,3509502,Sinovac,M,60-64,1,1223237,1
2021-01-19,SP,Campinas/SP,3509502,Sinovac,F,20-24,1,1223237,9
2021-01-19,SP,Campinas/SP,3509502,Sinovac,F,25-29,1,1223237,56
2021-01-19,SP,Campinas/SP,3509502,Sinovac,F,30-34,1,1223237,105
2021-01-19,SP,Campinas/SP,3509502,Sinovac,F,35-39,1,1223237,110
2021-01-19,SP,Campinas/SP,3509502,Sinovac,F,40-44,1,1223237,128
2021-01-19,SP,Campinas/SP,3509502,Sinovac,F,40-44,2,1223237,1
2021-01-19,SP,Campinas/SP,3509502,Sinovac,F,45-49,1,1223237,92
2021-01-19,SP,Campinas/SP,3509502,Sinovac,F,50-54,1,1223237,68
2021-01-19,SP,Campinas/SP,3509502,Sinovac,F,55-59,1,1223237,41
2021-01-19,SP,Campinas/SP,3509502,Sinovac,F,60-64,1,1223237,16
2021-01-19,SP,Campinas/SP,3509502,Sinovac,F,65-69,1,1223237,11
2021-01-19,SP,Campinas/SP,3509502,Sinovac,F,90+,1,1223237,1
2021-01-19,SP,Campinas/SP,3509502,Sinovac,M,20-24,1,1223237,1
2021-01-19,SP,Campinas/SP,3509502,Sinovac,M,25-29,1,1223237,19
2021-01-19,SP,Campinas/SP,3509502,Sinovac,M,30-34,1,1223237,10
2021-01-19,SP,Campinas/SP,3509502,Sinovac,M,30-34,2,1223237,2
2021-01-19,SP,Campinas/SP,3509502,Sinovac,M,35-39,1,1223237,28
2021-01-19,SP,Campinas/SP,3509502,Sinovac,M,40-44,1,1223237,43
2021-01-19,SP,Campinas/SP,3509502,Sinovac,M,45-49,1,1223237,25
2021-01-19,SP,Campinas/SP,3509502,Sinovac,M,50-54,1,1223237,16
2021-01-19,SP,Campinas/SP,3509502,Sinovac,M,55-59,1,1223237,17
2021-01-19,SP,Campinas/SP,3509502,Sinovac,M,60-64,1,1223237,6
2021-01-19,SP,Campinas/SP,3509502,Sinovac,M,60-64,2,1223237,1
2021-01-19,SP,Campinas/SP,3509502,Sinovac,M,65-69,1,1223237,3
2021-01-19,SP,Campinas/SP,3509502,Sinovac,M,70-74,1,1223237,1
2021-01-20,SP,Campinas/SP,3509502,Sinovac,F,20-24,1,1223237,8
2021-01-20,SP,Campinas/SP,3509502,Sinovac,F,25-29,1,1223237,24
2021-01-20,SP,Campinas/SP,3509502,Sinovac,F,30-34,1,1223237,32
2021-01-20,SP,Campinas/SP,3509502,Sinovac,F,35-39,1,1223237,45
2021-01-20,SP,Campinas/SP,3509502,Sinovac,F,40-44,1,1223237,33
2021-01-20,SP,Campinas/SP,3509502,Sinovac,F,45-49,1,1223237,26
2021-01-20,SP,Campinas/SP,3509502,Sinovac,F,50-54,1,1223237,28
2021-01-20,SP,Campinas/SP,3509502,Sinovac,F,55-59,1,1223237,15
2021-01-20,SP,Campinas/SP,3509502,Sinovac,F,60-64,1,1223237,3
2021-01-20,SP,Campinas/SP,3509502,Sinovac,M,20-24,1,1223237,1
2021-01-20,SP,Campinas/SP,3509502,Sinovac,M,25-29,1,1223237,13
2021-01-20,SP,Campinas/SP,3509502,Sinovac,M,30-34,1,1223237,8
2021-01-20,SP,Campinas/SP,3509502,Sinovac,M,35-39,1,1223237,16
2021-01-20,SP,Campinas/SP,3509502,Sinovac,M,40-44,1,1223237,13
2021-01-20,SP,Campinas/SP,3509502,Sinovac,M,45-49,1,1223237,13
2021-01-20,SP,Campinas/SP,3509502,Sinovac,M,50-54,1,1223237,3
2021-01-20,SP,Campinas/SP,3509502,Sinovac,M,55-59,1,1223237,3
2021-01-20,SP,Campinas/SP,3509502,Sinovac,M,60-64,1,1223237,2
2021-01-20,SP,Campinas/SP,3509502,Sinovac,M,65-69,1,1223237,2
2021-01-21,SP,Campinas/SP,3509502,Pfizer/BioNTech,F,25-29,2,1223237,1
2021-01-21,SP,Campinas/SP,3509502,Sinovac,F,20-24,1,1223237,30
2021-01-21,SP,Campinas/SP,3509502,Sinovac,F,25-29,1,1223237,111
2021-01-21,SP,Campinas/SP,3509502,Sinovac,F,25-29,2,1223237,1
2021-01-21,SP,Campinas/SP,3509502,Sinovac,F,30-34,1,1223237,90
2021-01-21,SP,Campinas/SP,3509502,Sinovac,F,30-34,2,1223237,1
2021-01-21,SP,Campinas/SP,3509502,Sinovac,F,35-39,1,1223237,82
2021-01-21,SP,Campinas/SP,3509502,Sinovac,F,40-44,1,1223237,97
2021-01-21,SP,Campinas/SP,3509502,Sinovac,F,45-49,1,1223237,75
2021-01-21,SP,Campinas/SP,3509502,Sinovac,F,50-54,1,1223237,67
2021-01-21,SP,Campinas/SP,3509502,Sinovac,F,55-59,1,1223237,48
2021-01-21,SP,Campinas/SP,3509502,Sinovac,F,60-64,1,1223237,23
2021-01-21,SP,Campinas/SP,3509502,Sinovac,F,65-69,1,1223237,5
2021-01-21,SP,Campinas/SP,3509502,Sinovac,F,70-74,1,1223237,3
2021-01-21,SP,Campinas/SP,3509502,Sinovac,M,20-24,1,1223237,12
2021-01-21,SP,Campinas/SP,3509502,Sinovac,M,25-29,1,1223237,62
2021-01-21,SP,Campinas/SP,3509502,Sinovac,M,25-29,2,1223237,1
2021-01-21,SP,Campinas/SP,3509502,Sinovac,M,30-34,1,1223237,41
2021-01-21,SP,Campinas/SP,3509502,Sinovac,M,35-39,1,1223237,32
2021-01-21,SP,Campinas/SP,3509502,Sinovac,M,40-44,1,1223237,37
