,epi_week,date,state,city,ibgeID,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases
0,12,2020-03-18,SP,Campinas/SP,3509502,0,0,0,0,0.0,0.0,0.0
1,12,2020-03-19,SP,Campinas/SP,3509502,0,0,0,0,0.0,0.0,0.0
2,12,2020-03-20,SP,Campinas/SP,3509502,0,0,0,0,0.0,0.0,0.0
3,12,2020-03-21,SP,Campinas/SP,3509502,0,0,0,0,0.0,0.0,0.0
4,13,2020-03-22,SP,Campinas/SP,3509502,0,0,0,0,0.0,0.0,0.0
5,13,2020-03-23,SP,Campinas/SP,3509502,0,0,0,0,0.0,0.0,0.0
6,13,2020-03-24,SP,Campinas/SP,3509502,0,0,0,0,0.0,0.0,0.0
7,13,2020-03-25,SP,Campinas/SP,3509502,0,0,8,8,0.0,0.7999999999999999,0.0
8,13,2020-03-26,SP,Campinas/SP,3509502,0,0,0,8,0.0,0.7999999999999999,0.0
9,13,2020-03-27,SP,Campinas/SP,3509502,0,0,1,9,0.0,0.9,0.0
10,13,2020-03-28,SP,Campinas/SP,3509502,0,0,0,9,0.0,0.9,0.0
11,14,2020-03-29,SP,Campinas/SP,3509502,0,0,0,9,0.0,0.9,0.0
12,14,2020-03-30,SP,Campinas/SP,3509502,0,0,18,28,0.0,2.8,0.0
13,14,2020-03-31,SP,Campinas/SP,3509502,1,1,0,28,0.09999999999999999,2.8,0.03571428571428571
14,14,2020-04-01,SP,Campinas/SP,3509502,0,1,26,54,0.09999999999999999,5.3999999999999995,0.018518518518518517
15,14,2020-04-02,SP,Campinas/SP,3509502,0,1,2,57,0.09999999999999999,5.7,0.017543859649122806
16,14,2020-04-03,SP,Campinas/SP,3509502,0,1,0,57,0.09999999999999999,5.7,0.017543859649122806
17,14,2020-04-04,SP,Campinas/SP,3509502,3,4,0,57,0.39999999999999997,5.7,0.07017543859649122
18,15,2020-04-05,SP,Campinas/SP,3509502,0,4,0,57,0.39999999999999997,5.7,0.07017543859649122
19,15,2020-04-06,SP,Campinas/SP,3509502,0,4,5,62,0.39999999999999997,6.2,0.06451612903225806
20,15,2020-04-07,SP,Campinas/SP,3509502,0,4,15,77,0.39999999999999997,7.7,0.05194805194805195
21,15,2020-04-08,SP,Campinas/SP,3509502,0,5,44,121,0.5,12.1,0.04132231404958678
22,15,2020-04-09,SP,Campinas/SP,3509502,0,5,17,139,0.5,13.899999999999999,0.03597122302158273
23,15,2020-04-10,SP,Campinas/SP,3509502,0,5,28,167,0.5,16.7,0.029940119760479042
24,15,2020-04-11,SP,Campinas/SP,3509502,0,5,0,167,0.5,16.7,0.029940119760479042
25,16,2020-04-12,SP,Campinas/SP,3509502,0,5,0,167,0.5,16.7,0.029940119760479042
26,16,2020-04-13,SP,Campinas/SP,3509502,0,5,1,168,0.5,16.8,0.02976190476190476
27,16,2020-04-14,SP,Campinas/SP,3509502,0,5,1,169,0.5,16.9,0.029585798816568046
28,16,2020-04-15,SP,Campinas/SP,3509502,0,5,54,224,0.5,22.4,0.022321428571428572
29,16,2020-04-16,SP,Campinas/SP,3509502,0,5,3,228,0.5,22.8,0.021929824561403508
30,16,2020-04-17,SP,Campinas/SP,3509502,0,5,44,272,0.5,27.2,0.01838235294117647
31,16,2020-04-18,SP,Campinas/SP,3509502,0,5,0,272,0.5,27.2,0.01838235294117647
32,17,2020-04-19,SP,Campinas/SP,3509502,0,5,0,272,0.5,27.2,0.01838235294117647
33,17,2020-04-20,SP,Campinas/SP,3509502,0,5,24,297,0.5,29.7,0.016835016835016835
34,17,2020-04-21,SP,Campinas/SP,3509502,0,5,6,303,0.5,30.3,0.0165016501650165
35,17,2020-04-22,SP,Campinas/SP,3509502,3,8,4,308,0.7999999999999999,30.8,0.025974025974025976
36,17,2020-04-23,SP,Campinas/SP,3509502,0,8,11,319,0.7999999999999999,31.9,0.025078369905956112
37,17,2020-04-24,SP,Campinas/SP,3509502,3,12,0,319,1.2,31.9,0.03761755485893417
38,17,2020-04-25,SP,Campinas/SP,3509502,0,12,0,319,1.2,31.9,0.03761755485893417
39,18,2020-04-26,SP,Campinas/SP,3509502,1,13,2,321,1.2999999999999998,32.1,0.040498442367601244
40,18,2020-04-27,SP,Campinas/SP,3509502,0,13,39,361,1.2999999999999998,36.1,0.036011080332409975
41,18,2020-04-28,SP,Campinas/SP,3509502,0,13,21,382,1.2999999999999998,38.2,0.034031413612565446
42,18,2020-04-29,SP,Campinas/SP,3509502,5,19,0,382,1.9000000000000001,38.2,0.049738219895287955
43,18,2020-04-30,SP,Campinas/SP,3509502,0,19,0,382,1.9000000000000001,38.2,0.049738219895287955
44,18,2020-05-01,SP,Campinas/SP,3509502,3,22,0,382,2.1999999999999997,38.2,0.05759162303664921
45,18,2020-05-02,SP,Campinas/SP,3509502,0,22,39,422,2.1999999999999997,42.2,0.052132701421800945
46,19,2020-05-03,SP,Campinas/SP,3509502,0,22,0,422,2.1999999999999997,42.2,0.052132701421800945
47,19,2020-05-04,SP,Campinas/SP,3509502,0,22,2,424,2.1999999999999997,42.4,0.05188679245283019
48,19,2020-05-05,SP,Campinas/SP,3509502,0,22,58,483,2.1999999999999997,48.3,0.045548654244306416
49,19,2020-05-06,SP,Campinas/SP,3509502,0,22,128,611,2.1999999999999997,61.1,0.03600654664484452
50,19,2020-05-07,SP,Campinas/SP,3509502,0,22,0,611,2.1999999999999997,61.1,0.03600654664484452
51,19,2020-05-08,SP,Campinas/SP,3509502,0,22,0,611,2.1999999999999997,61.1,0.03600654664484452
52,19,2020-05-09,SP,Campinas/SP,3509502,0,22,128,740,2.1999999999999997,74.0,0.02972972972972973
53,20,2020-05-10,SP,Campinas/SP,3509502,0,22,17,757,2.1999999999999997,75.7,0.02906208718626156
